username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Jonathan Ortega,1018617342975082496,"Pomona, CA",2023-01-23 02:26:42,@royzoga Happy Chinese New Year My Guy 💋 https://t.co/73DdmBQKD2,0,Twitter for Android,
Jennifer Aquino Actor/Narrator🇺🇸🇵🇭🇨🇳🇮🇹🇫🇲,21668482,"Los Angeles, CA",2023-01-23 02:23:31,"Wishing everyone a Happy Chinese New Year! Gung Hay Fat Choy! May your Year of the Rabbit be full of Happiness, Pro… https://t.co/y8O0pvUKfg",1,Twitter Web App,
💜⚡️Brandon Nicholas Chau❤️⚡️,1360082420620435457,"Temple City, CA",2023-01-23 02:20:24,@creampuff_cow It’s Happy Chinese New Year 🧧 is Here!,0,Twitter for iPhone,
247 | bingfucious,14530609,"Los Angeles, CA",2023-01-23 02:16:06,"Happy Chinese New Year, year of the rabbit! https://t.co/pP1eH8MdgZ",0,Twitter for iPhone,
Franklin Clinton,1249528406183571456,"Los Angeles, CA",2023-01-23 02:07:37,Happy Chinese new year！ https://t.co/acqxZzNAEP,0,Twitter for Android,
DarkLily💫,246042759,LA,2023-01-23 02:01:43,Another perfect Chinese new year with the kids.🧧🎏⛩️,0,Twitter for Android,
CTV Windsor,312195939,"Windsor, Ont.",2023-01-23 02:00:36,The Windsor-Essex County Humane Society is celebrating the Chinese New Year by waiving adoption fees for rabbits an… https://t.co/lZbb4eOxBE,1,True Anthem,
Braven Agency,779017545986826240,"Long Beach, CA",2023-01-23 02:00:12,"On the joyous occasion of Chinese New Year 2023, we hope you have a party to remember and a feast to enjoy! 🎉… https://t.co/uBItr3QkcX",0,Hootsuite Inc.,
Drastic 🔜 BEYOND,1552766064848560128,Los Angeles,2023-01-23 01:59:39,"My thoughts on the MP shooting:

It pains me that this happened and not just on any day but on Lunar New Years. The… https://t.co/Ch4ufKukXE",0,Twitter for iPhone,
EEYC Management,1343655571833016320,"Los Angeles, CA",2023-01-23 01:51:41,"May this Chinese New Year bring each and every one of you abundance, happiness and love. #EEYC https://t.co/5zQuvgiJIX",0,Twitter for iPhone,
Los Angeles Times,16664681,"El Segundo, CA",2023-01-23 01:50:00,"The city, which has for decades been a gateway for Chinese immigration, has always been a quiet community, Monterey… https://t.co/sVhc4NtrVL",12,SocialNewsDesk,
Sabrina Hogan,32323843,"Los Angeles, CA",2023-01-23 01:41:18,I literally just thought it was fireworks for the Chinese lunar new year that I heard last night.  It was only 16 m… https://t.co/lQ5gBXXPwZ,1,Twitter for Android,
Thunder Levin,580466522,"Santa Monica, CA",2023-01-23 01:39:14,"@BrewingSailor @Son_of_Gigan @casualfanatic79 @ThatChrisGore So, to recap: never, ever (ever!) bet against… https://t.co/4NFfjEbJEm",0,Twitter Web App,
Claudia McPherson,823048678155886592,"Marina del Rey, CA",2023-01-23 01:37:38,"Happy Chinese New Year!

https://t.co/9gf7axO7En https://t.co/qRySgDfbOR",0,Twitter for iPhone,
Newhart MS Panthers,758327642143678465,"Mission Viejo, CA",2023-01-23 01:35:09,"Our Mandarin Immersion Program students, in partnership with Friends of MIP, will host some amazing Chinese New Yea… https://t.co/x3GxrT2OvB",0,IFTTT,
Hispanic Coalition of Small Businesses,1599970535626063872,"Riverside, CA",2023-01-23 01:35:06,"Happy Chinese New Year! Wishing you and yours a peaceful, safe and successful year! 

#happychinesenewyear… https://t.co/Egv2gdu9vd",0,Constant Contact - Social Posts,
Stephanie Hwang,1544150517835653120,"Los Angeles, CA",2023-01-23 01:28:38,Happy Chinese New Year ❤️🇨🇳#HappyChineseNewYear2023 https://t.co/NAtVgxZwdx,0,Twitter for iPhone,
Hu Chang,98889922,Los Angeles,2023-01-23 01:26:09,Chien-Kuo High School Alumni Association of Southern California joins all the Asian American communities in the cou… https://t.co/W2E6CoZxR7,0,Twitter for iPhone,
Chann Du,1418111502,"Los Angeles, CA",2023-01-23 01:23:29,"@s3thr1n @zai_ttong @britishmuseum Anyway, Happy Chinese New Year, Korean.🤭",0,Twitter for iPhone,
💜⚡️Brandon Nicholas Chau❤️⚡️,1360082420620435457,"Temple City, CA",2023-01-23 01:19:27,@creampuff_cow Monterey Park Shooting was So Hurtful on Chinese New Year 🧧,0,Twitter for iPhone,
Jianre M.,3598823719,"Fountain Valley, CA",2023-01-23 01:16:53,"Chinese New Year! Anyone a Rabbit Zodiac?

https://t.co/8K6RrhJUCa",0,Twitter Web App,
kaylee ✿ 🪷凯莉,1420879074772361223,"Santa Clarita, CA",2023-01-23 01:08:35,happy chinese new year from my family to yours! 新年快乐 ❤️🐰,0,Twitter for iPhone,
AlwynLvv,833613314022215681,"Los Angeles, CA",2023-01-23 01:07:10,"@riceandshine0 @asiaonecom Sorry, in Singapore, we call it Chinese New Year. That's why we have 2 Chinese New Year… https://t.co/bGmaTXD4Uq",0,Twitter for Android,
LAupDates,14356557,"Los Angeles, CA",2023-01-23 01:06:27,Happy Chinese New Year https://t.co/ZBRem5V3E2,0,Twitter for iPhone,
Renee Warner,1566056213036470274,,2023-01-23 01:06:17,@KTLA God!  Like we have enough crime in this world.  Heaven forbid on this day of Lunar Chinese New year!🤦‍♀️💔,0,Twitter for Android,
Jenny Lens MFA famous early punk rock photog 76-80,18550264,Santa Monica,2023-01-23 01:04:27,What will it take to pass stronger gun laws? 10 ppl shot at Chinese New Year of the Hare 🐰🐇celebration in a heavily… https://t.co/ZGSf2qRaQP,0,Twitter Web App,
CTV Windsor,312195939,"Windsor, Ont.",2023-01-23 01:00:26,"The Chinese Lunar New Year, Year of the Rabbit is being celebrated in Windsor at Devonshire Mall with the return of… https://t.co/uI3lj2LxLY",0,True Anthem,
karen,1353989510,la,2023-01-23 00:57:22,i just say chinese new year because i have chinese heritage but i figured lunar was just a way to word it to encomp… https://t.co/ai8QbYGjI4,0,Twitter Web App,
karen,1353989510,la,2023-01-23 00:56:30,not sure if i'm just missing something but why are people that say 'lunar' new year as opposed to 'chinese' new year getting attacked....,0,Twitter Web App,
Loveology University,3675374539,"Los Angeles, CA",2023-01-23 00:45:10,"The Luckiest Day Of The Chinese Lunar New Year For All Of 2023, By Chinese Zodiac Sign: https://t.co/8RfjtqifBA The… https://t.co/POcqHmrPlf",0,Hootsuite Inc.,
Alexander S. Talley,1014644049423130625,"Northridge, CA 91324",2023-01-23 00:36:50,"✨🏮✨🐰#GongXiFaCai🐰✨🏮✨
Happy Chinese Lunar🌑 New Year🎉 of the Rabbit! 🐇
https://t.co/LAnCw4Hnuu https://t.co/O0lil2orrq",0,Twitter Web App,
nic,765422,Los Angeles,2023-01-23 00:36:08,Chinese restaurants are open on holidays where others are closed bc while the aunties and uncles making your food m… https://t.co/p1tuzmma2Q,1,Twitter for Android,
💜⚡️Brandon Nicholas Chau❤️⚡️,1360082420620435457,"Temple City, CA",2023-01-23 00:34:14,Happy Chinese New Year 🧧 in @WestfieldSA https://t.co/7Fqq7yrwCm,0,Twitter for iPhone,
Sukie Lau,1489271311956279298,"Ontario, CA",2023-01-23 00:26:34,@britishmuseum Happy Chinese lunar new year to you the robbers museum,0,Twitter for iPhone,
Jefe de mi vida,1584035035,Southern California,2023-01-23 00:22:43,"Chilly morning run, post Chinese New Year celebration with some friends.  I think I registered two hours sleep befo… https://t.co/Plj0FAEHAd",0,Twitter for iPad,
Drew Turney,19055397,Los Angeles,2023-01-23 00:22:39,"In news to nobody, Avatar: The Way of Water's box office has passed $2bn worldwide. https://t.co/cJjl711ESY",0,Hootsuite Inc.,
Bitplay,1449750152336527363,"Los Angeles, CA",2023-01-23 00:19:41,"Details are always matter! 
Chinese New Year is a great reason to win a sweet prize! 
Find 3 differences and win sw… https://t.co/Mkrs7n0Hbn",0,Twitter Web App,
Marjorie Hernandez,24636225,"Los Angeles, CA",2023-01-23 00:14:08,"Chester Chong, chairman of the Chinese Chamber Commerce of Los Angeles, told me he heard that the #MontereyPark sho… https://t.co/aV3Cu3LUop",2,Twitter for iPhone,
MAXHUBUSA,1556787479369330689,"Lake Forest, CA",2023-01-23 00:12:00,"🧧🐇 Happy Chinese New Year! MAXHUB wishes you the luck of the #Rabbit this year! 

#YearOfTheRabbit #ChineseNewYear… https://t.co/VdwXp1mQQ9",1,Semrush Social Media Tool,
Unknown Number,1032131233,"Los Angeles, CA",2023-01-23 00:08:12,Guy at the bar last night said he’s looking forward to the new moon for astrology reasons then one sentence later s… https://t.co/PiDAV27F3n,0,Twitter for iPhone,
Ram Vasudev,3468342260,"Los Angeles, California",2023-01-22 23:56:53,"Happy Chinese New Year (Year of the Rabbit)! 新年快乐

Enjoy a larger image displayed at: 
https://t.co/VJ5LXeoAcT… https://t.co/mTToqHrfFd",0,Twitter Web App,
Arise Private Wealth,1406991516162211840,"Rolling Hills Estates, CA",2023-01-22 23:56:00,"Happy Lunar New Year!🎉 2023 is the year of the rabbit, the fourth animal of the zodiac. Click the link below to lea… https://t.co/5TcQKBH5C1",0,HubSpot,
Bourns,32142327,"Riverside, CA",2023-01-22 23:51:14,"Happy Chinese New Year!
Year of the Rabbit!
#chinesenewyear #bourns #yearoftherabbit https://t.co/4V2OOufxH7",0,Sprout Social,
wes 🫧 🔜 Skyline,92425742,"Los Angeles, CA",2023-01-22 23:28:24,"First time doing the new year with a Viet family, they really go all out compared to Chinese Americans.",0,Twitter for iPhone,
Darrick Lin,71731476,"Irvine, California",2023-01-22 23:27:54,"Monterey Park, California - Official Website | Chinese Lunar New Year🧧Festival

Today’s festival cancelled by the M… https://t.co/VcnSq7ZK3p",0,Twitter for iPhone,
KC talks F1,1156928190461468673,"Los Angeles, CA",2023-01-22 23:23:14,Do you know this man?! Please stop and take a look at this picture this man … he killed and injured people while th… https://t.co/XBBKU42AU3,0,Twitter for iPhone,
Charles Lee,941339159066697728,"Los Angeles, CA",2023-01-22 23:17:55,"What's happening over the Chinese New Year weekend, there's nothing better than having abundance of delicious dishe… https://t.co/WBEvHg2os8",0,Twitter for Android,
Tara Insight,36471644,"Los Angeles, CA",2023-01-22 23:16:47,Just posted a photo @ Chinese New Year https://t.co/sWi7dmVc2V,0,Instagram,
赵纯,1236908013509677056,"Irvine, CA",2023-01-22 23:13:46,Today is the Chinese new year ，and all the flowers I bought have bloomed in due course! The red color is really bea… https://t.co/DRd42gsom9,0,Twitter for iPhone,
✨melanie✨,1323905826,"Los Angeles, CA",2023-01-22 23:13:39,Waking up to my bf txting me that him and his family are ok after the mp shooting was terrifying. What a terrible w… https://t.co/HNMJmeYj0y,0,Twitter for iPhone,
Iza,188583171,"Los Angeles, CA",2023-01-22 23:10:15,Happy Chinese new year!,0,Twitter for iPhone,
Scrapgirlfriend,859989708,"Orange County, California",2023-01-22 23:07:06,"Happy Chinese New Year, Catholics! https://t.co/dtIxXAqrJf",0,Twitter for Android,
nappda,14101506,"Los Angeles, CA",2023-01-22 23:00:47,"🈵 HAPPY CHINESE NEW YEAR 🈵

Squeeze out your RIPE CHEST 🍊🍊oRAnGeS 🍊🍊in your 👗TIGHTEST QIPAO 👚cause 大哥 has some bIG… https://t.co/a5FmtLMLo8",0,Twitter for iPhone,
Sarah Gough,20855959,Los Angeles,2023-01-22 22:56:08,Festival signs are coming down in Monterey Park as Chinese New Year celebrations are cancelled. Last night 10 peopl… https://t.co/L3BlerRQAL,1,Twitter for iPhone,
LAUSD Pupil Services & Attendance,637337994,"Los Angeles, CA",2023-01-22 22:46:00,"Today, January 22,  marks the first day of the lunisolar calendar based on the cycles of the moon and begins the Ye… https://t.co/qkkVQhryw6",1,Twitter Web App,
Jossie Ochoa,274774639,"Los Angeles, CA",2023-01-22 22:43:31,chinese new lunar year 🧧🏮🎎🎈,0,Twitter for iPhone,
Dr. Sumun Pendakur,426835962,"Los Angeles, CA",2023-01-22 22:42:54,"Sending love and care to all Chinese, Chinese American &amp; Asian Am friends &amp; community members who were just trying… https://t.co/YR8L4ntgXP",1,Twitter for iPhone,
Dr. Sumun Pendakur,426835962,"Los Angeles, CA",2023-01-22 22:42:53,Wrapping my arms around all community members grieving the mass murder during Lunar New Year celebrations in… https://t.co/oUjDnUFxl4,5,Twitter for iPhone,
WorkCompCentral,28789817,"Camarillo, CA",2023-01-22 22:42:42,Happy Chinese New Year to all who celebrate! Wishing you good luck and good fortune in the lunar new year.… https://t.co/UMzTWixohd,0,Twitter for iPhone,
Jeanette Rodriguez,22376444,"Alhambra, CA",2023-01-22 22:37:30,Happy Chinese New Year. https://t.co/3xg6BKNbfE,0,Twitter for Android,
Jeanette Rodriguez,22376444,"Alhambra, CA",2023-01-22 22:29:25,Happy Chinese Lunar New Year. This mass shooting isn't gonna stop me from going to my favorite Asian coffee shops.… https://t.co/DzqzA4kKrL,0,Twitter for Android,
💜⚡️Brandon Nicholas Chau❤️⚡️,1360082420620435457,"Temple City, CA",2023-01-22 22:22:40,@creampuff_cow Red Envelopes 🧧 for Chinese New Year 🧧!,0,Twitter for iPhone,
💜⚡️Brandon Nicholas Chau❤️⚡️,1360082420620435457,"Temple City, CA",2023-01-22 22:21:26,@creampuff_cow It’s a Happy Chinese New Year 🧧 Day!,0,Twitter for iPhone,
Kelly Benjamin Garrett,1190473275433840641,"Palmdale, CA",2023-01-22 22:21:11,I would like to wish everyone a Happy Chinese New Year today if anybody celebrates it,0,Twitter Web App,
karen,1353989510,la,2023-01-22 22:19:27,happy chinese new year 🥳,0,Twitter for Android,
Lisabella Russo,374144246,"Los Angeles, CA",2023-01-22 22:11:22,"Happy Chinese Lunar New Year!  Original Oil Painting

In honor of Chinese Lunar New Year, I have painted this tiny… https://t.co/fLGu8SVwKd",0,Twitter Web App,
Renee Warner,1566056213036470274,,2023-01-22 21:57:41,"Prayers go out to those 10 people killed in the mass shooting last night, to their families. What a tragedy on a Ch… https://t.co/S7DcbNVNux",0,Twitter for Android,
Bitplay,1449750152336527363,"Los Angeles, CA",2023-01-22 21:52:45,"Dear users! 
We wish you peace, happiness luck and more money in the new year.
Happy Chinese New Year! 

Link to pl… https://t.co/B07jhLnBdS",0,Twitter Web App,
Tia Kai,318815297,"Pasadena, CA",2023-01-22 21:51:28,"PHOTOS
27 Pictures
Happy Chinese New Year! 🧧 https://t.co/6I9OoquRG5",4,OnlyFans,
MsMastaFoXX LLC♌👽🖖🌋🕉🔑7-FigBizOwner💰👑🌊💜☯️,1471098570,MyCreatorLife,2023-01-22 21:51:14,"Mark your calendar 📆 — Don't miss @MsMastaFoXX &amp; @MsWhizdom next Live ""Happy Chinese New Year Of The Rabbit! 1/22/2… https://t.co/zdjScDLp7W",0,Twitter for Android,
camryn,2186463135,Blood bank,2023-01-22 21:47:26,also happy Chinese new year we are in the year of the 🐇!,0,Twitter for iPhone,
WestHollywoodLibrary,334319934,"West Hollywood, CA, USA",2023-01-22 21:44:30,"Today is the start of Lunar New Year, also known as Chinese New Year, but celebrated across Asia and the world. Lea… https://t.co/BNBgIqafCe",0,TweetDeck,
Rialto USD Child Nutrition,1055563061463941125,"Rialto, CA",2023-01-22 21:43:42,"Happy Chinese New Year. 2023 is the year of the rabbit. The rabbit symbolizes peace, prosperity and longevity. May… https://t.co/WXAeCyH9em",0,Twitter for iPhone,
B.L.A.C.K.,1383548744084246529,"Los Angeles, CA",2023-01-22 21:42:08,"There was a shooting not too far from where i work… just happened less than a few hours ago. allegedly 10 killed, 1… https://t.co/Uh9PTbwBtL",0,Twitter for iPhone,
Benji Boy,1590219438401343488,"Los Angeles, CA",2023-01-22 21:40:30,My roommate just gave me a Chinese New Year treat and wished me a Happy New Year... It’s so sad because I actually… https://t.co/ncI7p5kXk1,0,Twitter for iPhone,
Shane moon,1579236208390987776,"Pico Rivera, CA",2023-01-22 21:28:59,It’s Chinese new year yahh!!!!!! Go Chigh!!!!,0,Twitter for iPhone,
💜⚡️Brandon Nicholas Chau❤️⚡️,1360082420620435457,"Temple City, CA",2023-01-22 21:27:12,@creampuff_cow Red for Chinese New Year 🧧!,0,Twitter for iPhone,
rulō,1477131284971331586,"Los Angeles, CA",2023-01-22 21:22:56,i used to love chinese new year only cause i got money,0,Twitter for iPhone,
FIREFLY,3000424792,Northwestern Ontario,2023-01-22 21:20:11,Chinese and Lunar New Year begins TODAY https://t.co/vSoRSbvCQh,0,Hootsuite Inc.,
💜⚡️Brandon Nicholas Chau❤️⚡️,1360082420620435457,"Temple City, CA",2023-01-22 21:18:24,@creampuff_cow It’s Chinese New Year 🧧!,0,Twitter for iPhone,
NewsfeedsMedia,1007725923720835072,"Los Angeles, CA",2023-01-22 21:18:12,"Joe and Jill Biden pay tribute to the ten victims of Chinese Lunar New Year dance studio massacre
https://t.co/k56OwUx7L5",0,Next Newsfeeds.media,
Renee Zhang,1297280250213089280,"Los Angeles, CA",2023-01-22 21:09:09,Happy Chinese New Year 🎉🎉 https://t.co/0qumSMg4gp,0,Twitter for iPhone,
Leanne Prince,4275407481,Ontario,2023-01-22 21:04:57,"On the joyous occasion of Chinese New Year 2023, I hope you have a party to remember and a feast to enjoy! New Year… https://t.co/J0Ugew3sak",0,Twitter for Android,
IRON GUARD,1364765503487569920,Los Angeles,2023-01-22 21:02:05,"Happy Chinese New Year!

The Iron Guard team wishes all who celebrate a happy, healthy, and prosperous year of the… https://t.co/fjs8b5XZZs",0,Sprout Social,
Sage Goddess,623906896,"Los Angeles, CA",2023-01-22 21:00:30,Celebrate the Chinese New Year with this Year of the Water Rabbit Gemstone Trio! 🐰 https://t.co/07t8fwF55a ✨ Scapol… https://t.co/eGbIG2nezE,0,Twitter Web App,
ProtectChineseCulture🇨🇳🇺🇸,1550545433662853120,"Beverly Hills, CA",2023-01-22 20:59:42,"Happy Chinese New Year( in US time zone) everyone!
P.S. all credits goes to 木眠-Yoimiya &amp; GS weibo forum… https://t.co/EjrLaQHx2i",0,Twitter for Android,
Botanical Brittany 🥮✨🐸,1460382162247507972,,2023-01-22 20:59:31,Happy Chinese New Year! ❤️ https://t.co/YrhjUlOT1i,0,Twitter for Android,
J DBª Lakeshow,3267516362,"Laguna Beach, CA",2023-01-22 20:58:19,@stefihane It’s chinese new year guess they have a lot of fireworks. Lol,0,Twitter for iPhone,
Yoshi Nurijumi,93806567,"Huntington Beach, CA",2023-01-22 20:57:03,"Happy Chinese New Year, you beautiful people!! Make it the best damn year to date!!!! 🎉🥂🎉🥳🎊",0,Twitter for Android,
Sarah-Carol💖💜💙,51521201,"Los Angeles, CA",2023-01-22 20:54:23,I will never be able to hear what animal is Chinese new year it is without seeing Fruits Basket character,0,Twitter for iPhone,
Cassandra James,70425848,"Los Angeles, CA",2023-01-22 20:46:23,Beginning my Chinese/Lunar New Year with the deepest of grieving. My family lives in Monteray Park &amp; Alhambra. We a… https://t.co/a6QykBx1EW,71,Twitter for iPhone,
Stepan Baghdassarian,14076756,"Los Angeles, CA",2023-01-22 20:41:35,"Happy Chinese New Year!
#chinesenewyear #lunarnewyear 
#yearoftherabbit https://t.co/jYXedQygbt",0,Twitter for iPhone,
Candace Janine,123149813,Los Angeles,2023-01-22 20:41:18,"Happy Chinese and Lunar New Year 🧧🐉 Wishing you much positivity, prosperity, and health as we hop in to the luckies… https://t.co/4uQ5lPxPGO",0,Instagram,
NewsfeedsMedia,1007725923720835072,"Los Angeles, CA",2023-01-22 20:40:12,"Ballroom champion who's an instructor at Chinese Lunar New Year massacre dance studio pays tribute
https://t.co/N4pGFhfzjI",0,Next Newsfeeds.media,
CrmlCrz,241763476,"Los Angeles, CA",2023-01-22 20:38:02,Happy Chinese New Year 🧧,0,Twitter for iPhone,
Candace Janine,123149813,Los Angeles,2023-01-22 20:34:46,"Happy Chinese and Lunar New Year 🧧🐉 Wishing you much positivity, prosperity, and health as we hop in to the luckies… https://t.co/2h1D522YbV",0,Instagram,
City of West Hollywood,18147813,"West Hollywood, CA",2023-01-22 20:27:05,"The City of West Hollywood celebrates Lunar New Year and the Year of The Rabbit. As we reflect, we are pleased to m… https://t.co/sXTeL0iei2",0,Sprout Social,
Reading Partners,208655814,Los Angeles,2023-01-22 20:20:02,"From eating a piece of sugar cane first thing in the morning to not showering (so you don’t wash away any luck!), D… https://t.co/eHl3brCc1N",0,LaterMedia,
Muth Pump LLC,831256896,"Bakersfield, CA",2023-01-22 20:15:10,"https://t.co/Jj8mz14lXU would like to wish all our Asian friends Happy Chinese New Year! 
May this year bring abund… https://t.co/rg5wSc9dS7",0,SocialPilot.co,
Los Angeles Times,16664681,"El Segundo, CA",2023-01-22 20:15:05,"Monterey Park has for decades been considered a gateway for Chinese immigration, with a bustling business district… https://t.co/pu2Ppl65oh",8,SocialNewsDesk,
